ID,Pred
2018_1104_1112,0.21048873565785067
2018_1104_1113,0.26439574018320505
2018_1104_1116,0.36636349100321414
2018_1104_1120,0.2026362650375181
2018_1104_1137,0.2537728522644297
2018_1104_1138,0.2506020421332958
2018_1104_1139,0.31114541456629063
2018_1104_1153,0.06434837036765398
2018_1104_1155,0.2721683816636705
2018_1104_1158,0.32278773937573296
2018_1104_1166,0.23709298388075886
2018_1104_1168,0.5354950984633889
2018_1104_1172,0.1944553445803348
2018_1104_1181,0.09190969447747678
2018_1104_1196,0.3016732384908331
2018_1104_1199,0.31737293760806756
2018_1104_1209,0.27940050848186176
2018_1104_1211,0.060497186551493234
2018_1104_1222,0.13343840661077272
2018_1104_1233,0.41293400113430645
2018_1104_1242,0.18723265720502213
2018_1104_1243,0.3862901018151296
2018_1104_1246,0.31885128069044605
2018_1104_1252,0.47453250476731973
2018_1104_1254,0.5844278692599036
2018_1104_1260,0.19598798649788188
2018_1104_1267,0.40474792708098795
2018_1104_1274,0.3154759838397786
2018_1104_1276,0.1883651463316552
2018_1104_1277,0.0836504541928678
2018_1104_1281,0.3751869450989062
2018_1104_1285,0.21839431002361318
2018_1104_1293,0.14703293103366524
2018_1104_1300,0.5802202361557827
2018_1104_1301,0.30670539137433395
2018_1104_1305,0.18953488346380543
2018_1104_1308,0.18643193827585916
2018_1104_1314,0.24169633137416524
2018_1104_1326,0.21634283348386232
2018_1104_1328,0.45182810850936583
2018_1104_1335,0.3356140741239069
2018_1104_1344,0.5340139451591469
2018_1104_1345,0.09024906109085537
2018_1104_1347,0.4678784908577644
2018_1104_1348,0.2316899039752966
2018_1104_1355,0.270809583017495
2018_1104_1361,0.23901783858191117
2018_1104_1371,0.34991442899836595
2018_1104_1372,0.21125602281838088
2018_1104_1382,0.28873427966021725
2018_1104_1393,0.4371873424472177
2018_1104_1395,0.29466212979937806
2018_1104_1397,0.25122676187278487
2018_1104_1400,0.4383610928937577
2018_1104_1401,0.38044536677112856
2018_1104_1403,0.20508671317008914
2018_1104_1411,0.6688884991189173
2018_1104_1417,0.3467843483977979
2018_1104_1420,0.5168549903865326
2018_1104_1422,0.2155959618697898
2018_1104_1437,0.07024085352141776
2018_1104_1438,0.08159359467449898
2018_1104_1439,0.2675992440045025
2018_1104_1452,0.18902454947859965
2018_1104_1455,0.1710152731955611
2018_1104_1460,0.384101522529093
2018_1104_1462,0.2199504502296212
2018_1112_1113,0.5741336574709209
2018_1112_1116,0.684414154926042
2018_1112_1120,0.48802318673585054
2018_1112_1137,0.5605492623210123
2018_1112_1138,0.5564034029922994
2018_1112_1139,0.6288326531851386
2018_1112_1153,0.2050623433415281
2018_1112_1155,0.5837855705832303
2018_1112_1158,0.641295670486232
2018_1112_1166,0.538249673990846
2018_1112_1168,0.8121744557349878
2018_1112_1172,0.4751868669373744
2018_1112_1181,0.275168544437203
2018_1112_1196,0.6183709056925001
2018_1112_1199,0.6355521828389935
2018_1112_1209,0.5925566887061754
2018_1112_1211,0.19454058830217122
2018_1112_1222,0.36611704881914
2018_1112_1233,0.7251459052408193
2018_1112_1242,0.46353711170401046
2018_1112_1243,0.7024617723756789
2018_1112_1246,0.6371293092457372
2018_1112_1252,0.7720677284903961
2018_1112_1254,0.8406348312609758
2018_1112_1260,0.4776202419617748
2018_1112_1267,0.7183438726115994
2018_1112_1274,0.6335184142392747
2018_1112_1276,0.4653839050082636
2018_1112_1277,0.25506680098650675
2018_1112_1281,0.6925257102888634
2018_1112_1285,0.511731289581965
2018_1112_1293,0.39267485065534585
2018_1112_1300,0.8383035574075577
2018_1112_1301,0.6239655934139818
2018_1112_1305,0.4672834995386059
2018_1112_1308,0.4622267587187434
2018_1112_1314,0.5445267665960424
2018_1112_1326,0.5087177830109255
2018_1112_1328,0.7555979615860815
2018_1112_1335,0.6545456171736158
2018_1112_1344,0.8112645963227769
2018_1112_1345,0.2711855869643678
2018_1112_1347,0.7673340900925271
2018_1112_1348,0.530758211582496
2018_1112_1355,0.5821153020211183
2018_1112_1361,0.5408860601804647
2018_1112_1371,0.6687565736959911
2018_1112_1372,0.5011527380073969
2018_1112_1382,0.6035891772986803
2018_1112_1393,0.7444822156830405
2018_1112_1395,0.6104334107202729
2018_1112_1397,0.5572236120099182
2018_1112_1400,0.7453883313428942
2018_1112_1401,0.6972683680376817
2018_1112_1403,0.4917961880894231
2018_1112_1411,0.8834118795531944
2018_1112_1417,0.6656949764817388
2018_1112_1420,0.8005008276617945
2018_1112_1422,0.5076153682282074
2018_1112_1437,0.22079947186037943
2018_1112_1438,0.24994469398823502
2018_1112_1439,0.578140505253475
2018_1112_1452,0.46645573172610494
2018_1112_1455,0.4362324199222162
2018_1112_1460,0.7005265961140588
2018_1112_1462,0.5140030406381318
2018_1113_1116,0.6166600750273531
2018_1113_1120,0.4141942717315339
2018_1113_1137,0.4861672382619502
2018_1113_1138,0.48196815273786425
2018_1113_1139,0.556871684179252
2018_1113_1153,0.16061135504118149
2018_1113_1155,0.5098978278436922
2018_1113_1158,0.5700990993390244
2018_1113_1166,0.4637043383156339
2018_1113_1168,0.7623242994512303
2018_1113_1172,0.40177593752411106
2018_1113_1181,0.21972116450508
2018_1113_1196,0.5458465098989745
2018_1113_1199,0.5639906897829228
2018_1113_1209,0.5189429442739119
2018_1113_1211,0.15193446143801892
2018_1113_1222,0.2999264958083188
2018_1113_1233,0.6618156352687564
2018_1113_1242,0.3905864888168163
2018_1113_1243,0.6365246343766249
2018_1113_1246,0.5656658613705134
2018_1113_1252,0.7153042829934505
2018_1113_1254,0.7964451003794819
2018_1113_1260,0.4041228609731836
2018_1113_1267,0.6541937219589052
2018_1113_1274,0.5618328963410429
2018_1113_1276,0.39235520743781493
2018_1113_1277,0.20253814753145177
2018_1113_1281,0.6255603617006121
2018_1113_1285,0.43737979309234293
2018_1113_1293,0.3241381075506346
2018_1113_1300,0.7936260938881796
2018_1113_1301,0.5517336703931701
2018_1113_1305,0.3941764967587528
2018_1113_1308,0.38933269394590947
2018_1113_1314,0.46999695709992095
2018_1113_1326,0.43441457905764314
2018_1113_1328,0.6963460903660089
2018_1113_1335,0.584274083119461
2018_1113_1344,0.7612439462901179
2018_1113_1345,0.21630128379494787
2018_1113_1347,0.7098348410915609
2018_1113_1348,0.45622529046264776
2018_1113_1355,0.5081808484613217
2018_1113_1361,0.46634435722971807
2018_1113_1371,0.5996074910377285
2018_1113_1372,0.42699412517640223
2018_1113_1382,0.5303890024699139
2018_1113_1393,0.683663707435683
2018_1113_1395,0.5375287186035066
2018_1113_1397,0.48279805853382224
2018_1113_1400,0.6846941541855477
2018_1113_1401,0.6307852421242394
2018_1113_1403,0.41786234806128547
2018_1113_1411,0.8489523212843938
2018_1113_1417,0.5962925877637053
2018_1113_1420,0.7485117821613753
2018_1113_1422,0.4333311578178941
2018_1113_1437,0.1736824971256749
2018_1113_1438,0.19819024708577418
2018_1113_1439,0.5041018942752971
2018_1113_1452,0.3933826014819912
2018_1113_1455,0.36465798464792804
2018_1113_1460,0.6343838141280318
2018_1113_1462,0.4396186564932189
2018_1116_1120,0.30532890722777756
2018_1116_1137,0.370344082340749
2018_1116_1138,0.3664319707484285
2018_1116_1139,0.4385816509390771
2018_1116_1153,0.10630215943348252
2018_1116_1155,0.392742359231359
2018_1116_1158,0.4518644595304527
2018_1116_1166,0.3495917309184117
2018_1116_1168,0.6659822984708385
2018_1116_1172,0.2945334831668565
2018_1116_1181,0.14897185050197412
